scenario,quantity,region,technology,item,year,value
4,New Storage Capacity,ATX,EV_BAT,,2034,0.0
4,New Storage Capacity,ATX,EV_BAT,,2035,0.0
4,New Storage Capacity,ATX,EV_BAT,,2036,0.0
4,New Storage Capacity,ATX,EV_BAT,,2037,0.0
4,New Storage Capacity,ATX,EV_BAT,,2038,0.0
4,New Storage Capacity,ATX,EV_BAT,,2039,0.0
4,New Storage Capacity,ATX,EV_BAT,,2040,0.0
4,New Storage Capacity,ATX,EV_BAT,,2041,0.0
4,New Storage Capacity,ATX,EV_BAT,,2042,0.0
4,New Storage Capacity,ATX,EV_BAT,,2043,0.0
4,New Storage Capacity,ATX,EV_BAT,,2044,0.0
4,New Storage Capacity,ATX,EV_BAT,,2045,0.0
4,New Storage Capacity,ATX,EV_BAT,,2046,0.0
4,New Storage Capacity,ATX,EV_BAT,,2047,0.0
4,New Storage Capacity,ATX,EV_BAT,,2048,0.0
4,New Storage Capacity,ATX,EV_BAT,,2049,0.0
4,New Storage Capacity,ATX,EV_BAT,,2050,0.0
4,New Storage Capacity,ATX,EV_BAT_F,,2015,0.0
4,New Storage Capacity,ATX,EV_BAT_F,,2016,0.0
